angerpower1: .word 16, 16
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,118,119,103,118,118,199,199,199,199,199,
199,199,199,199,199,118,103,103,103,103,103,118,199,199,199,199,
199,199,199,199,199,7,4,4,103,4,4,7,199,199,199,199,
199,199,199,199,199,7,7,4,4,4,7,7,199,7,7,199,
199,199,199,199,199,7,7,7,7,7,7,7,199,7,7,199,
199,199,7,7,199,7,255,255,255,255,255,7,199,7,7,199,
199,199,7,7,199,92,174,174,174,174,174,92,199,7,7,199,
199,199,7,174,174,174,92,92,4,92,92,174,174,174,7,199,
199,199,199,199,174,174,174,174,4,174,174,174,174,199,199,199,
199,199,199,199,199,199,174,174,174,174,174,199,199,199,199,199,
199,199,199,199,199,199,174,174,174,20,20,199,199,199,199,199,
199,199,199,199,199,199,20,20,11,199,9,9,9,199,199,199,
199,199,199,199,199,9,9,9,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


